IFDM - Índice Firjan de Desenvolvimento Municipal (NOVO)
Sigla;Código;Município;2019;2020;2021;2022;2023;
GO;5204607;Campestre de Goiás;0,5633;0,4997;0,5665;0,5662;0,6012;
GO;5204656;Campinaçu;0,5536;0,5067;0,5311;0,5578;0,5482;
GO;5204706;Campinorte;0,4945;0,5008;0,527;0,5573;0,6053;
GO;5204805;Campo Alegre de Goiás;0,595;0,6092;0,6641;0,6679;0,6922;
GO;5204854;Campo Limpo de Goiás;0,4941;0,5106;0,5496;0,5712;0,6203;
GO;5204904;Campos Belos;0,5579;0,5441;0,5265;0,5785;0,593;
GO;5204953;Campos Verdes;0,4543;0,498;0,491;0,4846;0,5289;
GO;5205000;Carmo do Rio Verde;0,5843;0,577;0,5997;0,6535;0,6767;
GO;5205059;Castelândia;0,523;0,5151;0,4655;0,5139;0,5151;
GO;5205109;Catalão;0,6713;0,679;0,7298;0,7283;0,772;
GO;5205208;Caturaí;0,5001;0,4586;0,5437;0,5094;0,5417;
GO;5205307;Cavalcante;0,3354;0,4168;0,337;0,4488;0,4297;
GO;5205406;Ceres;0,7516;0,7552;0,8027;0,8134;0,8422;
GO;5205455;Cezarina;0,5233;0,5536;0,5591;0,6477;0,6948;
GO;5205471;Chapadão do Céu;0,7068;0,6758;0,71;0,7251;0,7958;
GO;5205497;Cidade Ocidental;0,4946;0,4923;0,5254;0,557;0,5933;
GO;5205513;Cocalzinho de Goiás;0,4399;0,4784;0,5251;0,5434;0,583;
GO;5205521;Colinas do Sul;0,4522;0,463;0,4733;0,4318;0,5433;
GO;5205703;Córrego do Ouro;0,5617;0,59;0,5422;0,6042;0,6389;
GO;5205802;Corumbá de Goiás;0,4681;0,5394;0,5976;0,6077;0,5656;
GO;5205901;Corumbaíba;0,6448;0,632;0,6694;0,6901;0,6974;
GO;5206206;Cristalina;0,6471;0,6609;0,6551;0,7018;0,7436;
GO;5206305;Cristianópolis;0,5434;0,517;0,4961;0,5656;0,5912;
GO;5206404;Crixás;0,557;0,5903;0,6819;0,6512;0,6627;
GO;5206503;Cromínia;0,5514;0,5868;0,5344;0,5869;0,6076;
GO;5206602;Cumari;0,4899;0,5366;0,5712;0,5947;0,6095;
GO;5206701;Damianópolis;0,4069;0,3884;0,4274;0,494;0,4583;
GO;5206800;Damolândia;0,4922;0,5328;0,5503;0,6373;0,6363;
GO;5206909;Davinópolis;0,5856;0,5685;0,578;0,626;0,6724;
GO;5207105;Diorama;0,6025;0,5886;0,5718;0,6297;0,6755;
GO;5207253;Doverlândia;0,5811;0,5337;0,6061;0,5538;0,6748;
GO;5207352;Edealina;0,6337;0,6487;0,6423;0,6704;0,6948;
GO;5207402;Edéia;0,5311;0,5645;0,627;0,6541;0,6941;
GO;5207501;Estrela do Norte;0,4544;0,534;0,5901;0,625;0,5647;
GO;5207535;Faina;0,4788;0,4635;0,5082;0,5216;0,5883;
GO;5207600;Fazenda Nova;0,5435;0,5459;0,5451;0,5788;0,5794;
GO;5207808;Firminópolis;0,5218;0,5557;0,5617;0,6253;0,6262;
GO;5207907;Flores de Goiás;0,3884;0,3977;0,4361;0,4717;0,4943;
GO;5208004;Formosa;0,5761;0,576;0,6196;0,6751;0,6996;
GO;5208103;Formoso;0,4282;0,4764;0,4753;0,4858;0,4871;
GO;5208152;Gameleira de Goiás;0,5407;0,5726;0,5253;0,5575;0,609;
GO;5208301;Divinópolis de Goiás;0,3462;0,376;0,431;0,4793;0,4607;
GO;5208400;Goianápolis;0,5313;0,5451;0,567;0,6435;0,6371;
GO;5208509;Goiandira;0,6023;0,662;0,6537;0,7024;0,7059;
GO;5208608;Goianésia;0,6148;0,6285;0,6559;0,6915;0,7486;
GO;5208707;Goiânia;0,7257;0,7385;0,7589;0,7759;0,7865;
GO;5208806;Goianira;0,4934;0,4751;0,5258;0,5643;0,6061;
GO;5208905;Goiás;0,5813;0,6265;0,5975;0,6355;0,6417;
GO;5209101;Goiatuba;0,6549;0,6309;0,6648;0,7046;0,7095;
GO;5209150;Gouvelândia;0,5833;0,611;0,5801;0,5504;0,6298;
GO;5209200;Guapó;0,4842;0,5329;0,5637;0,5773;0,5993;
GO;5209291;Guaraíta;0,5127;0,5116;0,5127;0,5491;0,555;
GO;5209408;Guarani de Goiás;0,4274;0,4342;0,5422;0,4907;0,503;
GO;5209457;Guarinos;0,4744;0,4132;0,4754;0,4383;0,4768;
GO;5209606;Heitoraí;0,4757;0,4873;0,4027;0,5016;0,4952;
GO;5209705;Hidrolândia;0,5657;0,5552;0,6151;0,6394;0,6453;
GO;5209804;Hidrolina;0,4012;0,4703;0,4735;0,5746;0,6284;
GO;5209903;Iaciara;0,4584;0,4701;0,522;0,5057;0,5393;
GO;5209937;Inaciolândia;0,6088;0,5259;0,6009;0,6059;0,688;
GO;5209952;Indiara;0,5499;0,5531;0,5318;0,6378;0,6451;
GO;5210000;Inhumas;0,6704;0,6718;0,6835;0,7068;0,742;
GO;5210109;Ipameri;0,616;0,589;0,6208;0,6216;0,706;
GO;5210158;Ipiranga de Goiás;0,5274;0,536;0,5094;0,5722;0,6188;
GO;5210208;Iporá;0,6539;0,6663;0,7032;0,7149;0,7465;
GO;5210307;Israelândia;0,5031;0,548;0,5403;0,5559;0,5745;
GO;5210406;Itaberaí;0,6432;0,6644;0,6883;0,7154;0,732;
GO;5210562;Itaguari;0,5909;0,59;0,6333;0,624;0,6298;
GO;5210604;Itaguaru;0,5654;0,5975;0,5945;0,6112;0,6527;
GO;5210802;Itajá;0,5521;0,5412;0,5193;0,6307;0,6542;
GO;5210901;Itapaci;0,5589;0,5281;0,5677;0,5661;0,6099;
GO;5211008;Itapirapuã;0,537;0,4469;0,526;0,5492;0,5462;
GO;5211206;Itapuranga;0,5149;0,5323;0,5594;0,5897;0,6396;
GO;5211305;Itarumã;0,5428;0,5158;0,4934;0,5323;0,6527;
GO;5211404;Itauçu;0,5792;0,5691;0,6061;0,5598;0,606;
GO;5211503;Itumbiara;0,6792;0,7102;0,7441;0,7677;0,7935;
GO;5211602;Ivolândia;0,5525;0,5465;0,5975;0,5811;0,5997;
GO;5211701;Jandaia;0,6299;0,6363;0,6312;0,5904;0,7045;
GO;5211800;Jaraguá;0,5431;0,5029;0,6138;0,5898;0,6228;
GO;5211909;Jataí;0,6943;0,6986;0,7215;0,767;0,8031;
GO;5212006;Jaupaci;0,5714;0,5454;0,5883;0,6087;0,5924;
GO;5212055;Jesúpolis;0,5145;0,5166;0,5256;0,5204;0,5497;
GO;5212105;Joviânia;0,5318;0,4938;0,5415;0,6217;0,6471;
GO;5212204;Jussara;0,5979;0,5822;0,6298;0,6483;0,6592;
GO;5212253;Lagoa Santa;0,6137;0,6613;0,7175;0,7126;0,7249;
GO;5212303;Leopoldo de Bulhões;0,5253;0,5402;0,6017;0,6033;0,6628;
GO;5212501;Luziânia;0,4965;0,5186;0,5574;0,5829;0,6172;
GO;5212600;Mairipotaba;0,4798;0,5495;0,5699;0,5534;0,6259;
GO;5212709;Mambaí;0,4937;0,5265;0,4946;0,587;0,589;
GO;5212808;Mara Rosa;0,5404;0,5932;0,5879;0,6436;0,7224;
GO;5212907;Marzagão;0,4805;0,4674;0,5089;0,5689;0,6377;
GO;5212956;Matrinchã;0,5556;0,4945;0,5543;0,5473;0,5625;
GO;5213004;Maurilândia;0,508;0,5251;0,5427;0,5428;0,6371;
GO;5213053;Mimoso de Goiás;0,5051;0,4924;0,5219;0,5565;0,602;
GO;5213087;Minaçu;0,4786;0,5328;0,5794;0,6353;0,6632;
GO;5213103;Mineiros;0,6492;0,6938;0,7049;0,7413;0,782;
GO;5213400;Moiporá;0,5751;0,5624;0,5416;0,5772;0,5863;
GO;5213509;Monte Alegre de Goiás;0,3929;0,3345;0,4012;0,4231;0,4416;
GO;5213707;Montes Claros de Goiás;0,5806;0,6145;0,6475;0,6542;0,6745;
GO;5213756;Montividiu;0,581;0,6134;0,6138;0,6605;0,6949;
GO;5213772;Montividiu do Norte;0,4641;0,4611;0,4147;0,4942;0,5374;
GO;5213806;Morrinhos;0,6489;0,6201;0,6396;0,7081;0,7143;
GO;5213855;Morro Agudo de Goiás;0,5891;0,5944;0,5491;0,621;0,5221;
GO;5213905;Mossâmedes;0,6164;0,5911;0,7025;0,687;0,6844;
GO;5214002;Mozarlândia;0,5816;0,6214;0,5983;0,6555;0,6503;
GO;5214051;Mundo Novo;0,5069;0,4672;0,4625;0,493;0,5404;
GO;5214101;Mutunópolis;0,5118;0,4364;0,4269;0,4451;0,5257;
GO;5214408;Nazário;0,5702;0,5318;0,5995;0,6589;0,6994;
GO;5214507;Nerópolis;0,5938;0,6342;0,6453;0,6852;0,7168;
GO;5214606;Niquelândia;0,5312;0,5654;0,5886;0,5875;0,6274;
GO;5214705;Nova América;0,5884;0,5539;0,5962;0,5764;0,597;
GO;5214804;Nova Aurora;0,5584;0,5814;0,5849;0,5823;0,6162;
GO;5214838;Nova Crixás;0,4609;0,4043;0,4865;0,5006;0,5212;
GO;5214861;Nova Glória;0,5279;0,5027;0,5077;0,4932;0,5692;
GO;5214879;Nova Iguaçu de Goiás;0,4631;0,5311;0,513;0,5114;0,6143;
GO;5214903;Nova Roma;0,4923;0,5172;0,4484;0,544;0,5326;
GO;5215009;Nova Veneza;0,5019;0,6634;0,6434;0,6575;0,7484;
GO;5215207;Novo Brasil;0,5794;0,589;0,5577;0,5917;0,5887;
GO;5215231;Novo Gama;0,4134;0,4441;0,4743;0,4977;0,5258;
GO;5215256;Novo Planalto;0,4984;0,4848;0,535;0,5649;0,5152;
GO;5215306;Orizona;0,4772;0,5428;0,5668;0,5546;0,6428;
GO;5215405;Ouro Verde de Goiás;0,5878;0,4995;0,5715;0,5579;0,5869;
GO;5215504;Ouvidor;0,6402;0,6475;0,6395;0,6487;0,7355;
GO;5215603;Padre Bernardo;0,4126;0,4366;0,4275;0,483;0,4986;
GO;5215652;Palestina de Goiás;0,4595;0,5312;0,5701;0,5789;0,5787;
GO;5215702;Palmeiras de Goiás;0,6086;0,5836;0,6406;0,6501;0,6905;
GO;5215801;Palmelo;0,5077;0,5781;0,6017;0,6156;0,6376;
GO;5215900;Palminópolis;0,5842;0,5627;0,6398;0,6336;0,6756;
GO;5216007;Panamá;0,6012;0,507;0,584;0,6283;0,7025;
GO;5216304;Paranaiguara;0,6027;0,6285;0,6397;0,68;0,7093;
GO;5216403;Paraúna;0,6413;0,6115;0,6421;0,6471;0,6669;
GO;5216452;Perolândia;0,6188;0,5601;0,631;0,6325;0,7155;
GO;5216809;Petrolina de Goiás;0,444;0,468;0,4575;0,5232;0,5783;
GO;5216908;Pilar de Goiás;0,5299;0,5446;0,595;0,5464;0,6122;
GO;5217104;Piracanjuba;0,567;0,5557;0,5749;0,6141;0,6494;
GO;5217203;Piranhas;0,4874;0,5653;0,5739;0,5838;0,641;
GO;5217302;Pirenópolis;0,5384;0,5465;0,5966;0,5969;0,665;
GO;5217401;Pires do Rio;0,5752;0,6485;0,6443;0,6321;0,674;
GO;5217609;Planaltina;0,4612;0,4523;0,4876;0,517;0,5554;
GO;5217708;Pontalina;0,5651;0,625;0,6466;0,6444;0,6404;
GO;5218003;Porangatu;0,5818;0,5808;0,5672;0,6167;0,6419;
GO;5218052;Porteirão;0,5727;0,6;0,5841;0,6527;0,6486;
GO;5218102;Portelândia;0,5349;0,5487;0,5714;0,5402;0,5818;
GO;5218300;Posse;0,5152;0,5251;0,5735;0,6201;0,6447;
GO;5218391;Professor Jamil;0,5274;0,5331;0,5521;0,597;0,6227;
GO;5218508;Quirinópolis;0,6647;0,6839;0,6699;0,7328;0,7954;
GO;5218607;Rialma;0,5955;0,5958;0,6506;0,6367;0,6854;
GO;5218706;Rianápolis;0,6006;0,5557;0,5354;0,6048;0,6591;
GO;5218789;Rio Quente;0,66;0,69;0,6886;0,7668;0,7282;
GO;5218805;Rio Verde;0,6628;0,6758;0,6971;0,74;0,7569;
GO;5218904;Rubiataba;0,6467;0,6221;0,6381;0,7165;0,7377;
GO;5219001;Sanclerlândia;0,626;0,6989;0,7153;0,7169;0,7412;
GO;5219100;Santa Bárbara de Goiás;0,5963;0,6082;0,6247;0,707;0,6795;
GO;5219209;Santa Cruz de Goiás;0,4994;0,4904;0,5647;0,5325;0,6078;
GO;5219258;Santa Fé de Goiás;0,6236;0,5723;0,6607;0,7116;0,6962;
GO;5219308;Santa Helena de Goiás;0,6195;0,6387;0,6895;0,7072;0,7142;
GO;5219357;Santa Isabel;0,521;0,4689;0,5309;0,5376;0,559;
GO;5219407;Santa Rita do Araguaia;0,528;0,4941;0,5639;0,579;0,6163;
GO;5219456;Santa Rita do Novo Destino;0,5471;0,5082;0,4671;0,6068;0,6218;
GO;5219506;Santa Rosa de Goiás;0,4939;0,4849;0,5124;0,5368;0,5235;
GO;5219605;Santa Tereza de Goiás;0,5135;0,5507;0,5279;0,5716;0,5258;
GO;5219704;Santa Terezinha de Goiás;0,4465;0,4288;0,4798;0,4896;0,5185;
GO;5219712;Santo Antônio da Barra;0,6095;0,6122;0,6169;0,6382;0,74;
GO;5219738;Santo Antônio de Goiás;0,6175;0,6589;0,6352;0,6947;0,6833;
GO;5219753;Santo Antônio do Descoberto;0,4119;0,406;0,4327;0,4687;0,4784;
GO;5219803;São Domingos;0,4408;0,43;0,4534;0,4283;0,5116;
GO;5219902;São Francisco de Goiás;0,4936;0,5395;0,6098;0,6047;0,6445;
GO;5220009;São João d'Aliança;0,5091;0,5272;0,5011;0,5877;0,6182;
GO;5220058;São João da Paraúna;0,5632;0,4869;0,5931;0,6146;0,6434;
GO;5220108;São Luís de Montes Belos;0,6849;0,6339;0,731;0,7312;0,7515;
GO;5220157;São Luíz do Norte;0,4725;0,4443;0,4311;0,485;0,5784;
GO;5220207;São Miguel do Araguaia;0,5338;0,5526;0,5699;0,6509;0,6746;
GO;5220264;São Miguel do Passa Quatro;0,519;0,5562;0,5621;0,524;0,584;
GO;5220280;São Patrício;0,498;0,6232;0,5926;0,5895;0,5853;
GO;5220405;São Simão;0,5756;0,5768;0,5651;0,6046;0,6666;
GO;5220454;Senador Canedo;0,5233;0,5426;0,55;0,6009;0,6196;
GO;5220504;Serranópolis;0,6345;0,611;0,6731;0,6484;0,7412;
GO;5220603;Silvânia;0,6096;0,6166;0,6097;0,6516;0,6771;
GO;5220686;Simolândia;0,4738;0,4251;0,4719;0,4969;0,5431;
GO;5220702;Sítio d'Abadia;0,5426;0,5022;0,4995;0,5826;0,5825;
GO;5221007;Taquaral de Goiás;0,5423;0,5319;0,5864;0,5573;0,6104;
GO;5221080;Teresina de Goiás;0,397;0,3155;0,4173;0,4619;0,4267;
GO;5221197;Terezópolis de Goiás;0,5011;0,5186;0,5535;0,5493;0,5818;
GO;5221304;Três Ranchos;0,5138;0,5869;0,5621;0,6406;0,6328;
GO;5221403;Trindade;0,5484;0,5536;0,5842;0,6055;0,6319;
GO;5221452;Trombas;0,4847;0,4728;0,4458;0,4712;0,5276;
GO;5221502;Turvânia;0,5144;0,5442;0,5548;0,5574;0,624;
GO;5221551;Turvelândia;0,6102;0,5939;0,6036;0,586;0,6295;
GO;5221577;Uirapuru;0,4462;0,4078;0,4869;0,4055;0,4709;
GO;5221601;Uruaçu;0,6179;0,6568;0,6842;0,7017;0,7489;
GO;5221700;Uruana;0,542;0,5101;0,5349;0,5656;0,546;
GO;5221809;Urutaí;0,5868;0,6375;0,6533;0,6695;0,7274;
GO;5221858;Valparaíso de Goiás;0,5292;0,53;0,5392;0,5998;0,6119;
GO;5221908;Varjão;0,3806;0,4426;0,5247;0,5526;0,5606;
GO;5222005;Vianópolis;0,5364;0,5485;0,5746;0,5741;0,6416;
GO;5222054;Vicentinópolis;0,5326;0,6088;0,6135;0,5856;0,7015;
GO;5222203;Vila Boa;0,5016;0,583;0,5524;0,6163;0,71;
GO;5222302;Vila Propício;0,486;0,5412;0,5581;0,6435;0,6918;
MA;2100055;Açailândia;0,488;0,4954;0,5441;0,5883;0,6135;
MA;2100105;Afonso Cunha;0,3113;0,2777;0,3229;0,4315;0,4554;
MA;2100154;Água Doce do Maranhão;0,3521;0,3687;0,3723;0,4098;0,448;
MA;2100204;Alcântara;0,377;0,3879;0,3325;0,3582;0,4098;
MA;2100303;Aldeias Altas;0,2909;0,2991;0,3873;0,4098;0,4698;
MA;2100402;Altamira do Maranhão;0,3098;0,3511;0,3686;0,4187;0,4768;
MA;2100436;Alto Alegre do Maranhão;0,3676;0,3542;0,3778;0,4104;0,4033;
MA;2100477;Alto Alegre do Pindaré;0,3927;0,4004;0,4298;0,469;0,4614;
MA;2100501;Alto Parnaíba;0,3187;0,3499;0,4577;0,4091;0,4079;
MA;2100550;Amapá do Maranhão;0,31;0,3251;0,3331;0,4377;0,4831;
MA;2100600;Amarante do Maranhão;0,2481;0,267;0,2503;0,2873;0,3087;
MA;2100709;Anajatuba;0,3778;0,3252;0,3211;0,3301;0,4238;
MA;2100808;Anapurus;0,3046;0,332;0,3966;0,35;0,415;
MA;2100832;Apicum-Açu;0,2749;0,2673;0,2592;0,3109;0,3643;
MA;2100873;Araguanã;0,3212;0,2871;0,3606;0,3183;0,3546;
MA;2100907;Araioses;0,2808;0,3272;0,3379;0,3247;0,3587;
MA;2100956;Arame;0,1493;0,1945;0,272;0,2758;0,3482;
MA;2101004;Arari;0,414;0,4484;0,4891;0,5314;0,5049;
MA;2101103;Axixá;0,3577;0,3842;0,3967;0,4151;0,474;
MA;2101202;Bacabal;0,438;0,4245;0,4528;0,5313;0,5787;
MA;2101251;Bacabeira;0,4618;0,4615;0,4819;0,5236;0,5074;
MA;2101301;Bacuri;0,3158;0,3426;0,3493;0,3605;0,4323;
MA;2101350;Bacurituba;0,2981;0,2986;0,351;0,434;0,4788;
MA;2101400;Balsas;0,524;0,5222;0,5518;0,6197;0,6455;
MA;2101509;Barão de Grajaú;0,4161;0,3698;0,3808;0,4822;0,5183;
MA;2101608;Barra do Corda;0,3523;0,3435;0,3671;0,4253;0,4445;
MA;2101707;Barreirinhas;0,3369;0,3562;0,382;0,4107;0,4439;
MA;2101731;Belágua;0,3512;0,3492;0,3438;0,3228;0,3969;
MA;2101772;Bela Vista do Maranhão;0,3711;0,3168;0,3897;0,3823;0,4232;
MA;2101806;Benedito Leite;0,3198;0,3602;0,3744;0,3925;0,4601;
MA;2101905;Bequimão;0,2511;0,2564;0,2907;0,2858;0,3428;
MA;2101939;Bernardo do Mearim;0,3517;0,4036;0,4885;0,445;0,4817;
MA;2101970;Boa Vista do Gurupi;0,3292;0,356;0,3788;0,4025;0,4204;
MA;2102002;Bom Jardim;0,2981;0,291;0,2928;0,3198;0,3467;
MA;2102036;Bom Jesus das Selvas;0,214;0,2563;0,3149;0,3385;0,3747;
MA;2102077;Bom Lugar;0,3713;0,3443;0,3835;0,4283;0,4658;
MA;2102101;Brejo;0,3307;0,3354;0,3303;0,3888;0,4366;
MA;2102150;Brejo de Areia;0,2637;0,2868;0,3155;0,3273;0,3666;
MA;2102200;Buriti;0,3618;0,392;0,4004;0,3685;0,4039;
MA;2102309;Buriti Bravo;0,3414;0,3006;0,3007;0,4043;0,4858;
MA;2102325;Buriticupu;0,2747;0,3207;0,3301;0,4013;0,4557;
MA;2102358;Buritirana;0,3321;0,3123;0,2922;0,3429;0,4367;
MA;2102374;Cachoeira Grande;0,2653;0,3026;0,2734;0,3281;0,3755;
MA;2102408;Cajapió;0,2689;0,3019;0,3134;0,2974;0,3576;
MA;2102507;Cajari;0,2107;0,2227;0,2568;0,2788;0,3085;
MA;2102556;Campestre do Maranhão;0,5111;0,4833;0,5004;0,5047;0,5668;
MA;2102606;Cândido Mendes;0,2431;0,2541;0,2815;0,315;0,3591;
MA;2102705;Cantanhede;0,2743;0,2857;0,374;0,4056;0,4094;
MA;2102754;Capinzal do Norte;0,389;0,406;0,4122;0,449;0,5137;
MA;2102804;Carolina;0,4496;0,4449;0,3589;0,3773;0,4055;
MA;2102903;Carutapera;0,3997;0,3722;0,3825;0,4226;0,4534;
MA;2103000;Caxias;0,4468;0,4444;0,4421;0,4781;0,5157;
MA;2103109;Cedral;0,2713;0,3145;0,3521;0,3683;0,4369;
MA;2103125;Central do Maranhão;0,2622;0,2849;0,3248;0,3601;0,3277;
MA;2103158;Centro do Guilherme;0,3431;0,3522;0,3291;0,4125;0,3587;
MA;2103174;Centro Novo do Maranhão;0,3368;0,3339;0,3546;0,4125;0,4201;
MA;2103208;Chapadinha;0,3888;0,42;0,4094;0,4711;0,529;
MA;2103257;Cidelândia;0,3052;0,2688;0,3399;0,3365;0,4349;
MA;2103307;Codó;0,4076;0,3984;0,4247;0,4668;0,5055;
MA;2103406;Coelho Neto;0,4399;0,4172;0,4552;0,4691;0,5032;
MA;2103505;Colinas;0,3764;0,4149;0,4143;0,4874;0,5003;
MA;2103554;Conceição do Lago-Açu;0,2006;0,2221;0,2299;0,3104;0,3679;
MA;2103604;Coroatá;0,4401;0,4632;0,4432;0,5222;0,5424;
MA;2103703;Cururupu;0,3495;0,3508;0,365;0,4038;0,4363;
MA;2103752;Davinópolis;0,4123;0,43;0,4298;0,5036;0,503;
MA;2103802;Dom Pedro;0,4015;0,3722;0,4448;0,4751;0,5103;
MA;2103901;Duque Bacelar;0,3793;0,3959;0,4279;0,4015;0,4199;
MA;2104008;Esperantinópolis;0,3742;0,3505;0,36;0,4365;0,4484;
MA;2104057;Estreito;0,3529;0,3568;0,408;0,4155;0,4575;
MA;2104073;Feira Nova do Maranhão;0,2555;0,2756;0,3325;0,3619;0,379;
MA;2104081;Fernando Falcão;0,1617;0,1999;0,2133;0,2604;0,2161;
MA;2104099;Formosa da Serra Negra;0,3481;0,315;0,3034;0,3693;0,4099;
MA;2104107;Fortaleza dos Nogueiras;0,3454;0,3526;0,3653;0,4656;0,4762;
MA;2104206;Fortuna;0,2916;0,3311;0,3084;0,397;0,4703;
MA;2104305;Godofredo Viana;0,4034;0,3761;0,4258;0,4151;0,498;
MA;2104404;Gonçalves Dias;0,2664;0,2655;0,3675;0,4411;0,4773;
MA;2104503;Governador Archer;0,3562;0,2999;0,2941;0,3849;0,4176;
MA;2104552;Governador Edison Lobão;0,4014;0,3979;0,4201;0,4688;0,5006;
MA;2104602;Governador Eugênio Barros;0,2833;0,2608;0,3503;0,3761;0,3254;
MA;2104628;Governador Luiz Rocha;0,3242;0,3388;0,3766;0,4107;0,4258;
MA;2104651;Governador Newton Bello;0,3223;0,333;0,3818;0,3652;0,3701;
MA;2104677;Governador Nunes Freire;0,2692;0,3189;0,3361;0,3919;0,3737;
MA;2104701;Graça Aranha;0,3136;0,2988;0,2893;0,3709;0,4749;
MA;2104800;Grajaú;0,3303;0,372;0,3918;0,4177;0,4658;
MA;2104909;Guimarães;0,2707;0,2975;0,3142;0,3764;0,3879;
MA;2105005;Humberto de Campos;0,2829;0,2422;0,2809;0,292;0,3318;
MA;2105104;Icatu;0,2555;0,2823;0,3162;0,3587;0,3633;
MA;2105153;Igarapé do Meio;0,279;0,3323;0,3391;0,3722;0,441;
MA;2105203;Igarapé Grande;0,3984;0,3514;0,3943;0,4058;0,4547;
MA;2105302;Imperatriz;0,5849;0,5837;0,611;0,6521;0,6778;
MA;2105351;Itaipava do Grajaú;0,1866;0,2367;0,2017;0,2842;0,3142;
MA;2105401;Itapecuru Mirim;0,399;0,3975;0,4083;0,4434;0,4772;
MA;2105427;Itinga do Maranhão;0,4426;0,4235;0,4699;0,4745;0,5358;
MA;2105450;Jatobá;0,2677;0,2831;0,2365;0,2396;0,3221;
MA;2105476;Jenipapo dos Vieiras;0,1836;0,2125;0,1859;0,188;0,1583;
MA;2105500;João Lisboa;0,3416;0,345;0,3796;0,4164;0,407;
MA;2105609;Joselândia;0,2804;0,3558;0,2853;0,351;0,4716;
MA;2105658;Junco do Maranhão;0,3548;0,4322;0,4715;0,4745;0,5159;
MA;2105708;Lago da Pedra;0,3693;0,3679;0,4525;0,4204;0,4472;
MA;2105807;Lago do Junco;0,3654;0,3912;0,3974;0,3823;0,388;
MA;2105906;Lago Verde;0,2317;0,2702;0,2963;0,3172;0,3745;
MA;2105922;Lagoa do Mato;0,3763;0,3741;0,4465;0,4443;0,4554;
MA;2105948;Lago dos Rodrigues;0,3177;0,4288;0,4295;0,5064;0,4529;
MA;2105963;Lagoa Grande do Maranhão;0,274;0,264;0,2781;0,2772;0,39;
MA;2105989;Lajeado Novo;0,3324;0,353;0,3988;0,4403;0,5526;
MA;2106003;Lima Campos;0,3391;0,39;0,3815;0,4122;0,4774;
MA;2106102;Loreto;0,4249;0,3917;0,4415;0,5187;0,5405;
MA;2106201;Luís Domingues;0,3564;0,3286;0,4046;0,4062;0,4006;
MA;2106300;Magalhães de Almeida;0,3842;0,3375;0,3746;0,4323;0,4616;
MA;2106326;Maracaçumé;0,2769;0,3189;0,3406;0,3967;0,4128;
MA;2106359;Marajá do Sena;0,3135;0,3293;0,3054;0,3326;0,3693;
MA;2106375;Maranhãozinho;0,2927;0,2994;0,3264;0,3644;0,3085;
MA;2106409;Mata Roma;0,2619;0,3207;0,3928;0,3775;0,3434;
MA;2106508;Matinha;0,3276;0,327;0,3694;0,3549;0,3943;
MA;2106607;Matões;0,3882;0,4154;0,3516;0,4145;0,4068;
MA;2106631;Matões do Norte;0,3597;0,3046;0,3558;0,3848;0,4328;
MA;2106672;Milagres do Maranhão;0,3462;0,2653;0,3096;0,3658;0,3689;
MA;2106706;Mirador;0,2755;0,3026;0,3312;0,3141;0,385;
MA;2106755;Miranda do Norte;0,416;0,4507;0,4349;0,4426;0,4046;
MA;2106805;Mirinzal;0,2589;0,2924;0,2464;0,2886;0,3742;
MA;2106904;Monção;0,243;0,2426;0,2815;0,292;0,3568;
MA;2107001;Montes Altos;0,3078;0,2822;0,2804;0,3462;0,3424;
MA;2107100;Morros;0,2667;0,259;0,2953;0,3883;0,4253;
MA;2107209;Nina Rodrigues;0,3369;0,3565;0,3832;0,3593;0,4405;
MA;2107258;Nova Colinas;0,3085;0,283;0,3651;0,3667;0,4211;
MA;2107308;Nova Iorque;0,3231;0,3826;0,424;0,4706;0,4749;
MA;2107357;Nova Olinda do Maranhão;0,2963;0,315;0,3238;0,3293;0,3128;
MA;2107407;Olho d'Água das Cunhãs;0,3845;0,3001;0,3201;0,3368;0,3376;
MA;2107456;Olinda Nova do Maranhão;0,2637;0,2934;0,3162;0,3752;0,4526;
MA;2107506;Paço do Lumiar;0,4589;0,4709;0,4642;0,5172;0,5501;
MA;2107605;Palmeirândia;0,2553;0,2678;0,2926;0,3298;0,3558;
MA;2107704;Paraibano;0,3177;0,3745;0,3049;0,3379;0,4238;
MA;2107803;Parnarama;0,3946;0,4056;0,4016;0,4408;0,4544;
MA;2107902;Passagem Franca;0,3487;0,3566;0,3808;0,3818;0,4031;
MA;2108009;Pastos Bons;0,3883;0,3947;0,4401;0,472;0,5039;
MA;2108058;Paulino Neves;0,3641;0,3525;0,3741;0,3942;0,3985;
MA;2108108;Paulo Ramos;0,2314;0,2501;0,2773;0,2964;0,357;
MA;2108207;Pedreiras;0,488;0,484;0,5137;0,5742;0,592;
MA;2108256;Pedro do Rosário;0,2909;0,2922;0,3168;0,3058;0,3114;
MA;2108306;Penalva;0,2495;0,2511;0,3242;0,3692;0,3795;
MA;2108405;Peri Mirim;0,3077;0,3722;0,3154;0,4003;0,4154;
MA;2108454;Peritoró;0,2749;0,3001;0,3634;0,3949;0,4477;
MA;2108504;Pindaré-Mirim;0,3629;0,4057;0,3766;0,4626;0,4684;
MA;2108603;Pinheiro;0,4039;0,3988;0,4357;0,4591;0,4532;
MA;2108702;Pio XII;0,2856;0,2433;0,2883;0,3589;0,3481;
MA;2108801;Pirapemas;0,3131;0,36;0,3356;0,4152;0,4555;
